Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere,Url
"Chemin de fer",3/1/1950,Nice,100,65,toile,huile,"chemin-de-fer.jpg"
"Provo d’orchestra",11/1/1950,Nice,114,195,toile,huile,"provo-d-orchestra.jpg"
"La nuit des sens",11/1/1952,Nice,65,92,toile,huile,"la-nuit-des-sens.jpg"
"Clockwork",6/1/1953,Fontainebleau,146,114,toile,huile,"clockwork.jpg"
"Mais rendre la lumière suppose de l'ombre une morne moitié",6/1/1954,Fontainebleau,89,116,toile,huile,"mais-rendre-la-lumiere.jpg"
"Avon",8/1/1955,Fontainebleau,81,100,toile,huile,"l-horreur-de-ne-pas-etre.jpg"
"L’horreur de ne pas être",,Fontainebleau,73,60,toile,huile,"avon.jpg"
"Doom",,,54,73,toile,huile,"doom.jpg"
