Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere
In memory of midsummer 1944,7/15/1972,,46,55,papier sur bois,huile
Hope and strength and courage = relative peace,7/7/1972,,55,46,papier sur bois,huile
Aubade,,,54,81,toile,huile
Nike,,,116,89,toile,huile
Absorpta est mors in Victoria,1/1/1974,,195,114,toile,huile
Arma virumque cano,,,92,73,toile,huile
Amour du très petit,1/1/1976,,54,64,toile,huile
Gaieté,4/1/1958,Paris,73,54,toile,huile
Les Silences de Tolède,,,55,38,papier sur toile,huile
Peinture en forme de vitrail,,,55,33,toile,huile
Merci,,,40,32,papier,gouache
Blonde Pulpe,,,114,146,,
Sacy Pereire,,,114,162,,
Peillon N°2,,,41,27,isorel,huile
Cheval de Troie,,St Jean de Luz,46,33,isorel,huile
Conversation,,St Jean de Luz,46,33,isorel,huile
L'arbre de la vie,,,100,65,toile,huile
The Golden River,,,81,116,toile,huile
"Je t'ai porté dans mon sein, je t'aime de tout mon cœur",,,130,81,,
Voilà comme je suis,,St Enogat,55,38,isorel,huile
Souvenir de l'Italie où je n'ai jamais été,,,38,55,isorel,huile
On se repose comme on peut,,St Enogat,38,55,isorel,huile
Jeanne Hachette,,St Enogat,38,55,isorel,huile
La chute d'Icare,,,55,46,isorel,huile
La nuit du 25 janvier 1855 rue de la vieille Lanterne,,,33,55,isorel,huile
Le repos est grâce,,,63,30,isorel,huile
Souvenir de Montlaur,,,55,33,isorel,huile
Les yeux écarquillés,,,24.5,32,isorel,huile
La vérité irréfutable,,,195,114,toile,huile
C'est comme cela que j'ai peint quand je venais de voir  un ami,,,61,38,toile,huile
Plaisanterie sur le fascisme,1/7/1967,,38,61,toile,huile
Peinture inconçue - mais conditionnelle… à condition d'être conçue,3/10/1967,,61,38,toile,huile
Quel temps fera-t-il aujourd'hui,8/11/1967,,38,55,isorel,huile
Portrait de Jeanne assise sur une chaise à 2 pieds,7/20/1968,Dinard,55,38,papier,huile
I am Lazarus come from the dead,2/1/1969,,41,24,toile,huile
"Si la nature est morte, ce n'est qu'en apparence",3/1/1969,,81,60,,
L'antre,7/16/1970,,,,,
Ariane,7/15/1970,,38,46,papier sur bois,huile
Rencontre nocturne,1/1/1971,,73,92,,
Demi sommeil,9/3/1971,,46,38,papier,huile
Effet lumineux quand tombe la nuit,7/25/1972,,,,papier sur bois,huile
Un voyage de l'archange Raphaël à Londres en 1943,8/18/1972,,46,55,papier sur bois,huile
Franval peut-être,7/1/1974,,55,46,isorel,huile
Une manière de se présenter,6/1/1976,,65,54,toile,huile
Il fait frais ce matin,8/1/1976,,65,54,,
Moïse,7/1/1963,Dinard,61,38,isorel,huile
Indian summer,,Ridgefield - Paris,54,65,toile,huile
En souvenir d'une amusante semaine du mois de novembre 1968,11/1/1968,Paris,35,25,papier sur toile,huile
Portrait de Dauphine,9/1/1969,Paris,33,24,toile,huile
Le mystère de la chambre sans couleur,7/1/1967,Dinard,38,55,isorel,huile
O mon souverain roi,10/1/1964,Paris,29,54,isorel,huile
La terre est bleue comme une orange,,Rothéneuf,55,46,papier sur isorel,huile
Flammes,10/1/1959,,78,53,toile,huile
La nuit,7/2/1976,Franval,54,65,toile,huile
Quare conturbas me,7/8/1976,Franval,65,54,toile,huile
Le jour avant la fin du Monde,12/1/1959,Paris,54.5,81,toile,huile
Essai de construction d’une paix relative,8/10/1966,Dinard,38,61,isorel,huile
L’espace pris pour temps,,Franval,73,92,toile,huile
Le Tour du Monde en 80 jours,4/1/1963,Paris,73,92,toile,huile
Levis est fit patientia quidquid corrigere est nefas,7/26/1967,Dinard,38,55,isorel,huile
Peinture comme on aimerait en voir,3/1/1961,Paris,46,65,,huile
Les marches du Temple avaient …. Horizontales,9/1/1967,,56,38,isorel,huile
Starting Box,7/1/1970,Rothéneuf,40,47,papier sur isorel,huile
Gyroscope en mineur,9/1/1971,,45,38,,huile
Nu,,Nice,37,45,,
petit format 18 10,,,18,10,isorel,huile
Petit tableau abstrait,,,19,31.5,toile,huile
Septembre au bois de Boulogne,9/1/1968,,55,38,papier sur contreplaqué,huile
