Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere
Clockwork,6/1/1953,Fontainebleau,146,114,toile,huile
Nice a vol d'oiseau,1/1/1952,Nice,114,146,toile,huile
Pelican,1/1/1956,17 rue st senoch,145,113,toile,huile
sans,1/1/1950,,111,144,toile,huile
Nice,1/1/1952,,114,146,toile,huile
Mais rendre la lumière suppose de l'ombre une morne moitié,6/1/1954,Fontainebleau,89,116,toile,huile
Ré,9/1/1956,Paris,96,145,toile,huile
Tenebres a venir,6/1/1956,,145,97,toile,huile
Elle est retrouvee. Quoi ? L'eternite,6/1/1954,Fontainebleau,116,88,toile,huile
sans,10/1/1957,,81.5,116,toile,huile
Le quatre centieme coup,1/1/1958,,116,81,toile,huile
"Le ciel de soleil en haut, la mort en bas",7/1/1975,,88,115,toile,huile
sans,1/1/1970,,115,89,toile,huile
Rien de nouveau,1/1/1971,,116,89,toile,huile
Les filles du feu,11/1/1957,,81,116,toile,huile
sans,1/1/1947,,99,74.5,toile,huile
La nuit des sens,11/1/1952,Nice,65,92,toile,huile
Avon,8/1/1955,Fontainebleau,81,100,toile,huile
Droit au coeur,6/1/1955,Fontainebleau,100,81,toile,huile
Transverbération 2,8/1/1955,Fontainebleau,100,81,toile,huile
Pompei,3/1/1955,Fontainebleau,81,100,toile,huile
sans,7/1/1951,Nice,65,100,toile,huile
La chute de l'ange,11/1/1960,Paris,92,59.5,toile,huile
l'espoir a fui,3/1/1960,,92.5,60,toile,huile
A la memoire de R.V.G. qui sera mange,12/1/1960,Paris,92,65,toile,huile
Sans,11/1/1950,Nice,100,65,toile,huile
sans - Le Tricorne,11/1/1950,Nice,100,65,toile,huile
Composition no 3 a doubles croches,1/1/1951,Nice,92,65,toile,huile
sans,4/1/1952,Nice,73,92,toile,huile
Harlequin,11/1/1952,Nice,73,92,toile,huile
sans,11/1/1952,Nice,92,73,toile,huile
Sans titre - Composition Plage,8/1/1951,Nice,65,100,toile,huile
Sans titre,8/1/1950,Nice,65,100,toile,huile
Sans - Maître de Moulins,7/1/1952,Nice,73.5,92,toile,huile
Chemin de fer,3/1/1950,Nice,100,65,toile,huile
Sans - Composition élancée,1/1/1951,Nice,100,65,toile,huile
Sans - composition abstraite,4/1/1950,Nice,100,65,toile,huile
sans,1/1/1960,,92,60,toile,huile
sans,1/1/1960,,92,60,toile,huile
sans,1/1/1960,,60,92,toile,huile
Sans titre,1/1/1950,Nice,92,60,toile,huile
sans,1/1/1960,,92,60,toile,huile
sans,1/1/1960,,60,92,toile,huile
sans,1/1/1960,,92,60,toile,huile
Peinture à l'usage des enfants,3/1/1977,Paris,92,60,toile,huile
quatrain,5/1/1975,,60,92,toile,huile
Harbour,7/1/1962,Dinard,38,61,isorel,huile
sans,1/1/1960,,38,65,isorel,huile
Paquebot croisant par gros temps,9/1/1963,,38,61,isorel,huile
