Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere,Url
"Alcools",,"Waccabuc, NY",49,68,toile sur carton,huile,"Alcools.jpg"
"Femme assise à la chaise",,South Salem,58,43,toile,huile,"femme-assise-a-la-chaise.jpg"
"Les oranges",,,43,59,toile,huile,"les-oranges.jpg"
"Nature morte aux livres",,"South Salem, NY",61,50,toile,huile,"nature-morte-aux-livres.jpg"
"Oignon et verre de vin",,South Salem,42.5,58,toile,huile,"oignon-et-verre-de-vin.jpg"
"Oranges et bananes",,Paris,54,65,toile,huile,"oranges-et-bananes.jpg"
"Portrait d’une femme assise",,South Salem,58,43,toile,huile,"portrait-d-une-femme-assise.jpg"
"Portrait de sa femme",1/1/1947,Waccabuc N-Y,37.5,31,carton,huile,"portrait-de-sa-femme.jpg"
