Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere,Url
"En souvenir de l’Allemagne europeenne",9/7/1971,,46,38,papier sur bois,huile,"en-souvenir-de-l-allemagne-europeenne.jpg"
"Portrait d’Henri Bouvier",31/7/1972,Rotheneuf,55,46,papier sur bois,huile,"portrait-d-henri-bouvier.jpg"
"La nuit du 14 au 15 août",15/8/1972,Rotheneuf,46,55,papier sur bois,huile,"la-nuit-du-14-au-15-aout.jpg"
"La licorne et le capricorne - Paysage du Val",1/1/1974,,73,92,toile,huile,"la-licorne-et-le-capricorne-paysage-du-val.jpg"
"Histoire de faire plaisir",6/1/1976,,54,65,toile,huile,"histoire-de-faire-plaisir.jpg"
"Il fait frais ce matin",8/1/1976,,65,54,,,"il-fait-frais-ce-matin.jpg"
"La vérité irréfutable",,,195,114,toile,huile,"la-verite-irrefutable.jpg"
"Le Courage",8/1/1976,Paris,54.5,65,toile,huile,"le-courage.jpg"
