annee,texte
"С 15 марта по 19 октября 2019","<h4>Национальный Музей Второй мировой войны (Новый Орлеан, США)</h4><strong>“The Art of Guy de Montlaur – In Memory of What I cannot Say”</strong><br>С 15 марта по 19 октября, 2019, Мемориальный павильон Луизианы<br>Памяти 75-летия высадки в Нормандии<br><br><a class='button' href='/pdf/CatalogueExpoMontlaurNOLAMars2019.pdf'>Download the exhibition catalog</a>"
"Постоянная выставка","<h4>Мемориальный музей «Мост Пегас» (Ранвиль, Кальвадос)</h4>Постоянная выставка «Пегас перед высадкой»"
