Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere,Url
"À mon beau château",,,38,61,toile,huile,"a-mon-beau-chateau.jpg"
"Colère",,,55,33,isorel,huile,"colere.jpg"
"En mémoire de ce que je ne saurais dire",7/3/1966,Dinard,61,38,isorel,huile,"en-memoire-de-ce-que-je-ne-saurais-dire.jpg"
"Il y a plus d'un soleil qui fait saigner la terre",4/1/1967,,50,73,toile,huile,"il-y-a-plus-d-un-soleil-qui-fait-saigner-la-terre.jpg"
"La chute de l’ange",,Paris,92,59.5,toile,huile,"la-chute-de-l-ange.jpg"
"La promesse des fleurs",,,73,92,toile,huile,"la-promesse-des-fleurs.jpg"
"Auto-portrait sans indulgence",1/28/1969,,36,29,papier sur toile,huile,"auto-portrait-sans-indulgence.jpg"
"Secundum magnum bonitatem tuum",1/1/1969,,60,81,toile,huile,"secundum-magnum-bonitatem-tuum.jpg"
